Name,Gender,Gender,Grade,Math,Science,English,Total,Attendance
AARAV,0,F,8,84,100,41,225,92
'Shaurya',F,female,6,82 marks,29,32 marks,143,82
SAANVI,feMale,m,12,57,31 marks,40,128,76
'Reyansh',Male,female,1,14,5,3 marks,22,73
"""Krishna""",feMale,f,Grade 2,94,26 marks,92,212,80
Shaurya,f,  F  ,Grade 11,82,16,33 marks,131,99
Kabir,  F  ,M,8,89 marks,8 marks,82,179,77
ADITI,Male,1,3,1,26 marks,17,44,70
Kabir,1,M,Grade 5,21,52,84,157,84
Aditi,Male,m,2,52,59 marks,9 marks,120,71
Myra,Male,  F  ,9,32 marks,94 marks,91,217,94
Ananya,  F  ,Male,Grade 6,3,92,44,139,94
"""Vihaan""",Maleale,male,9,44,40 marks,76 marks,160,90
Aryan,Male,Female,Grade 2,85,44 marks,80,209,74
"""Kabir""",FeMale,  F  ,8,70 marks,20 marks,58 marks,148,90
Reyansh,  F  ,Male,3,86,41,0,127,87
'Reyansh',Maleale,M,5,18,70,20,108,71
'Saanvi',Male,  F  ,12,62 marks,16,42,120,80
ROHAN,  F  ,f,6,17,6 marks,73,96,88
Arjun,f,1,Grade 6,16,62,70,148,92
"""Shaurya""",1,0,Grade 8,20 marks,21 marks,2,43,84
"""Reyansh""",0,f,Grade 12,70 marks,92,59,221,97
KABIR,f,female,2,46,57,67,170,74
ANANYA,feMale,male,10,39,96,58,193,75
'Shaurya',Male,  M  ,Grade 10,63,31 marks,35,129,88
'Diya',  Male  ,  F  ,Grade 1,22 marks,79,91 marks,192,87
"""Zara""",  F  ,F,6,53,8 marks,72 marks,133,81
DIYA,F,m,9,17 marks,16,46 marks,79,93
"""Aarav""",Male,Female,6,50,72,39 marks,161,91
ADVIKA,FeMale,female,Grade 6,41 marks,11,85,137,95
'Aarav',feMale,female,8,27 marks,25,59,111,97
"""Aarav""",feMale,Male,Grade 9,36,52,86,174,74
Isha,Maleale,Male,Grade 12,96 marks,22,15 marks,133,78
AARAV,Maleale,male,8,56 marks,31 marks,11,98,71
ADITI,Male,M,6,38 marks,93,45,176,96
Reyansh,Male,f,8,8,38,66 marks,112,73
KRISHNA,f,Female,9,18,93 marks,21 marks,132,91
Aarav,FeMale,male,7,8,9 marks,60 marks,77,73
ADVIKA,Male,Female,3,72,38,10,120,89
Saanvi,FeMale,f,9,88,72 marks,47 marks,207,93
'Navya',f,m,Grade 7,28 marks,76 marks,93,197,85
'Aditi',Male,M,10,93,77,74,244,70
Myra,Male,  M  ,2,50,1,82,133,77
'Shaurya',  Male  ,Female,Grade 8,25,98,17 marks,140,100
'Saanvi',FeMale,  M  ,Grade 2,95,18,15,128,76
"""Zara""",  Male  ,M,11,100,38,44,182,84
Vihaan,Male,female,11,4,4 marks,33 marks,41,88
Rohan,feMale,1,8,50,50 marks,29,129,85
'Ishaan',1,F,11,51,80 marks,9 marks,140,83
NAVYA,F,Female,Grade 11,36 marks,38,40,114,84
Kabir,FeMale,female,Grade 11,82 marks,34 marks,21 marks,137,87
ISHAAN,feMale,female,Grade 7,28,50 marks,53,131,96
DIYA,feMale,M,Grade 11,97 marks,97,51,245,73
Navya,Male,m,Grade 10,25,66,83 marks,174,85
"""Anika""",Male,Female,Grade 4,67,8,59,134,74
Aarav,FeMale,1,10,4,55,34,93,93
VIHAAN,1,F,1,41 marks,30 marks,84,155,86
"""Arjun""",F,m,5,24,56,9,89,88
Ananya,Male,1,Grade 10,10,94,2,106,76
Shaurya,1,f,1,94,5,44,143,86
'Anika',f,Female,5,32 marks,56,41 marks,129,77
SHAURYA,FeMale,  F  ,7,23,53 marks,48,124,89
'Saanvi',  F  ,m,1,65,44,28,137,85
ARYAN,Male,F,Grade 3,31,86 marks,35,152,78
REYANSH,F,Male,1,8,78,30 marks,116,79
"""Aarav""",Maleale,Male,8,58,50 marks,38,146,86
Saanvi,Maleale,Male,4,6,24,44,74,94
"""Aarav""",Maleale,Female,Grade 8,99,50,40 marks,189,74
"""Zara""",FeMale,Female,4,61 marks,98 marks,76,235,92
ADITI,FeMale,Female,6,32,25 marks,27,84,83
Advika,FeMale,female,11,73 marks,39,3,115,76
'Vihaan',feMale,M,5,100,67,41,208,79
"""Kabir""",Male,  M  ,Grade 12,98 marks,21,37,156,77
"""Advika""",  Male  ,male,9,74,64 marks,72,210,87
MYRA,Male,0,10,1,50,13,64,85
DIYA,0,  F  ,11,93 marks,88,29 marks,210,70
"""Ishaan""",  F  ,  F  ,4,94,16 marks,87,197,86
ANIKA,  F  ,male,9,88,23 marks,72,183,81
'Advika',Male,  F  ,8,10,32,62,104,86
"""Ananya""",  F  ,1,7,73,52,17,142,73
'Myra',1,F,2,17 marks,92,74,183,92
ARYAN,F,m,1,83,95 marks,41,219,100
"""Advika""",Male,  M  ,3,88,79 marks,30,197,89
"""Aditi""",  Male  ,f,11,85,40,15,140,99
ADVIKA,f,female,11,75 marks,25 marks,69 marks,169,89
KABIR,feMale,Female,10,24,51,100 marks,175,91
'Aryan',FeMale,m,1,87,61,97,245,71
"""Saanvi""",Male,female,Grade 1,79,61 marks,17 marks,157,99
"""Ananya""",feMale,  F  ,Grade 2,48 marks,2,75 marks,125,88
AARAV,  F  ,  M  ,5,96,8,98 marks,202,89
'Vihaan',  Male  ,m,Grade 3,18,50,3,71,98
Anika,Male,m,Grade 5,83,70 marks,58 marks,211,80
'Aarav',Male,  F  ,6,31 marks,56 marks,99,186,73
Aditi,  F  ,M,12,18 marks,81,57,156,81
AARAV,Male,m,Grade 2,51 marks,24 marks,34,109,94
Myra,Male,male,12,70 marks,99,31 marks,200,95
"""Ananya""",Male,f,3,63 marks,91 marks,55 marks,209,85
SAANVI,f,  M  ,5,31,98,59,188,79
"""Aryan""",  Male  ,F,Grade 7,55 marks,93,64 marks,212,72
Ishaan,F,f,10,69,90,92 marks,251,92
ADITI,f,f,8,8 marks,22,84,114,96
ADVIKA,f,Male,3,39 marks,86,3,128,74
Zara,Maleale,Male,Grade 10,27,69,63,159,86
ISHAAN,Maleale,0,Grade 2,88,62,60 marks,210,100
Saanvi,0,M,2,75,16,74,165,76
'Aarav',Male,female,3,50 marks,31,70,151,71
"""Krishna""",feMale,female,4,91,11,14,116,71
Ishaan,feMale,male,1,80,67,12,159,80
ARYAN,Male,m,12,79,87,98,264,89
'Krishna',Male,  M  ,Grade 5,26 marks,95,40,161,84
'Ananya',  Male  ,male,7,73,67,73 marks,213,92
Shaurya,Male,Male,9,97 marks,49,43,189,88
Aditi,Maleale,male,9,15,53,100,168,71
'Anika',Male,Male,2,74 marks,69 marks,97 marks,240,91
"""Myra""",Maleale,1,10,95,62,4,161,94
"""Arjun""",1,male,3,38 marks,14 marks,97,149,73
ISHAAN,Male,M,11,100,63,4,167,72
KRISHNA,Male,0,Grade 1,2,31,35 marks,68,99
ARJUN,0,M,Grade 8,15,2,100,117,77
Ananya,Male,F,12,82,90,30 marks,202,92
"""Diya""",F,Female,Grade 2,67,2,76,145,75
KABIR,FeMale,male,Grade 9,41,53,71,165,89
"""Reyansh""",Male,F,8,51,23 marks,59,133,95
Arjun,F,F,Grade 3,77,10,55,142,88
'Isha',F,male,4,56,77 marks,11,144,87
AARAV,Male,F,2,66,97 marks,11,174,85
'Isha',F,  F  ,Grade 5,60,22,34,116,95
'Aryan',  F  ,m,Grade 1,48,47,97,192,87
"""Aarav""",Male,Female,4,31,7,1,39,83
"""Rohan""",FeMale,Male,1,10 marks,9 marks,57,76,75
ADVIKA,Maleale,1,10,22,79 marks,24 marks,125,88
REYANSH,1,1,9,44,73,79,196,94
'Vihaan',1,female,9,20 marks,60,54,134,86
"""Shaurya""",feMale,Male,3,27,3,13 marks,43,83
MYRA,Maleale,  F  ,1,31,73,67 marks,171,88
Isha,  F  ,M,Grade 12,23,99,92 marks,214,83
'Zara',Male,Female,12,5 marks,100 marks,16 marks,121,70
Aditi,FeMale,Male,3,100,29,83,212,100
"""Myra""",Maleale,f,1,99 marks,66,61,226,75
'Aryan',f,female,Grade 7,48,3 marks,83 marks,134,83
ARYAN,feMale,f,Grade 9,78,12,48 marks,138,100
'Ishaan',f,female,Grade 2,74,52,97,223,86
KRISHNA,feMale,m,10,20 marks,47 marks,3,70,76
"""Isha""",Male,0,5,15,8,94 marks,117,71
"""Anika""",0,  M  ,5,43,98 marks,66,207,75
'Saanvi',  Male  ,M,Grade 2,2,37,79,118,82
KRISHNA,Male,1,3,64 marks,68,37 marks,169,81
'Ananya',1,Male,6,1,60,92,153,92
"""Vihaan""",Maleale,  M  ,1,94,64,65 marks,223,70
'Arjun',  Male  ,  M  ,6,65 marks,88,51 marks,204,87
Isha,  Male  ,0,Grade 2,12 marks,91,81,184,93
"""Ishaan""",0,Male,5,18,34,7,59,79
DIYA,Maleale,  F  ,3,74,95 marks,50,219,84
"""Myra""",  F  ,1,5,100 marks,25,54,179,74
Advika,1,Male,5,17,75,13,105,72
"""Kabir""",Maleale,m,6,37,83 marks,57,177,100
ADITI,Male,male,12,90 marks,90 marks,28,208,76
"""Myra""",Male,m,9,46,56 marks,28,130,100
"""Aditi""",Male,Male,7,66 marks,82 marks,39 marks,187,95
Shaurya,Maleale,M,Grade 7,3,23,17,43,82
Vihaan,Male,0,4,53 marks,37,19,109,92
SAANVI,0,f,Grade 4,3,59,14,76,82
"""Myra""",f,male,Grade 3,22,81,66,169,74
KABIR,Male,Female,Grade 3,97 marks,4,59,160,86
"""Advika""",FeMale,m,5,18,82,32 marks,132,97
'Ananya',Male,F,12,56,56 marks,89,201,86
ROHAN,F,m,Grade 6,60 marks,56,71,187,93
"""Aditi""",Male,Female,7,73,21 marks,23,117,73
Shaurya,FeMale,  F  ,6,88,9,67,164,74
MYRA,  F  ,F,Grade 9,12 marks,64 marks,5,81,94
"""Diya""",F,1,Grade 2,9,9 marks,43,61,83
"""Navya""",1,Female,3,65 marks,31 marks,25,121,91
ZARA,FeMale,F,9,60,48 marks,24,132,71
"""Ananya""",F,0,Grade 5,42 marks,99 marks,95 marks,236,70
Advika,0,1,Grade 6,35,7,19,61,99
"""Ananya""",1,1,Grade 4,89 marks,39,100,228,77
'Isha',1,M,3,66,90,94,250,92
Ishaan,Male,f,11,83,66,36,185,99
"""Myra""",f,male,2,31,97,29,157,92
'Anika',Male,F,3,94,1,41,136,84
ANANYA,F,Female,3,40,89,44,173,78
Myra,FeMale,M,11,90 marks,17,73,180,92
KRISHNA,Male,0,4,54 marks,62,15 marks,131,98
'Aarav',0,male,7,41,45,55,141,72
"""Advika""",Male,m,6,26,70,75,171,87
Zara,Male,F,Grade 3,23,70,61 marks,154,94
'Kabir',F,  M  ,Grade 6,28 marks,27,100 marks,155,95
'Aarav',  Male  ,female,Grade 5,70,70,89,229,91
Shaurya,feMale,f,1,55,63,49 marks,167,82
"""Kabir""",f,Male,12,32,28 marks,99,159,96
"""Diya""",Maleale,1,6,27,91 marks,90,208,74
'Rohan',1,1,5,43,4,51,98,92
"""Ananya""",1,m,Grade 9,58 marks,87,98 marks,243,74
"""Vihaan""",Male,  F  ,12,86,46 marks,96,228,71
Navya,  F  ,M,Grade 1,63,56,62,181,75
'Aditi',Male,0,2,44 marks,51,69 marks,164,98
"""Anika""",0,Male,Grade 9,70,92,91,253,95
Shaurya,Maleale,  F  ,10,38 marks,14,71 marks,123,78
"""Aarav""",  F  ,M,12,69,75,26,170,78
'Advika',Male,Female,Grade 12,91,70,74,235,70
KRISHNA,FeMale,F,Grade 10,98 marks,84,97,279,80
"""Aryan""",F,0,1,89,44 marks,99,232,84
DIYA,0,F,Grade 12,63 marks,86,68,217,86
ISHAAN,F,M,9,66,5,48,119,82
'Aryan',Male,female,4,87,43 marks,77,207,97
"""Advika""",feMale,M,Grade 9,46 marks,54,72,172,83
ISHA,Male,  F  ,9,9,63,56 marks,128,87
Vihaan,  F  ,f,Grade 10,56 marks,29 marks,15 marks,100,77
'Zara',f,f,4,37,95,35 marks,167,92
'Kabir',f,f,3,18 marks,59 marks,9,86,96
'Aditi',f,F,11,45,71,5,121,76
"""Arjun""",F,f,Grade 12,4,43 marks,80,127,87
Kabir,f,F,7,53,2 marks,97 marks,152,85
NAVYA,F,female,4,61,80,77 marks,218,97
'Aryan',feMale,male,11,21,38 marks,73 marks,132,99
'Navya',Male,f,6,6,13,13 marks,32,95
ANIKA,f,f,8,57,69 marks,42,168,97
"""Reyansh""",f,Male,11,52,21 marks,85,158,90
"""Zara""",Maleale,Female,10,94 marks,34,34,162,78
'Rohan',FeMale,  M  ,9,39,88,46,173,76
'Advika',  Male  ,M,1,51,14,23,88,90
'Ishaan',Male,  F  ,8,34 marks,1 marks,59,94,82
"""Kabir""",  F  ,male,11,29,95,29,153,85
'Krishna',Male,F,3,50,80,0 marks,130,81
"""Vihaan""",F,F,Grade 4,47,41 marks,24,112,88
"""Aryan""",F,male,4,96 marks,90,61,247,95
'Saanvi',Male,female,12,27 marks,84,94,205,98
Diya,feMale,m,5,16,34,87,137,94
Vihaan,Male,male,Grade 7,51,97,31,179,70
"""Vihaan""",Male,female,Grade 7,53,29,21 marks,103,86
REYANSH,feMale,male,Grade 1,33,36,86,155,94
Arjun,Male,Male,Grade 10,57,54,42,153,94
REYANSH,Maleale,f,3,33,28,36,97,75
Aarav,f,1,2,46,72,44,162,92
Reyansh,1,Male,Grade 7,38 marks,8,69 marks,115,91
ANIKA,Maleale,female,12,11,49,90,150,71
VIHAAN,feMale,M,11,68 marks,56,17 marks,141,77
'Aryan',Male,Female,12,28 marks,72 marks,72,172,76
Advika,FeMale,f,4,55,9,82 marks,146,84
Anika,f,male,2,77,24,4 marks,105,77
'Isha',Male,F,Grade 6,60 marks,80,20,160,90
Rohan,F,F,10,62,9 marks,75 marks,146,90
'Vihaan',F,F,6,20,94 marks,51 marks,165,81
'Aditi',F,Female,4,63,59 marks,39,161,79
Aarav,FeMale,f,8,89,33 marks,12 marks,134,75
Isha,f,Male,Grade 6,0,68 marks,14,82,92
'Aarav',Maleale,f,Grade 11,16 marks,78,71,165,90
'Kabir',f,f,Grade 2,83,68 marks,5 marks,156,77
ROHAN,f,m,3,39,49,6,94,93
'Zara',Male,  M  ,12,43,26,94 marks,163,86
AARAV,  Male  ,0,Grade 3,74 marks,73,45 marks,192,90
'Ishaan',0,0,Grade 10,6,49,70,125,84
'Zara',0,  F  ,Grade 5,22,28,13,63,93
"""Kabir""",  F  ,  M  ,Grade 12,20 marks,14,66,100,73
"""Advika""",  Male  ,F,9,53,36 marks,8 marks,97,86
"""Arjun""",F,F,11,24 marks,55 marks,46,125,95
'Anika',F,0,7,12 marks,81 marks,71 marks,164,94
Myra,0,0,8,65 marks,18,75 marks,158,92
'Rohan',0,m,Grade 9,42,33,12,87,88
Advika,Male,0,3,46,18 marks,53 marks,117,85
"""Krishna""",0,M,Grade 4,37,3,0,40,93
ANANYA,Male,f,Grade 7,47,19 marks,63,129,76
KABIR,f,male,2,19 marks,46,43,108,93
'Arjun',Male,male,3,55,24,84 marks,163,93
'Saanvi',Male,female,5,23,81,37 marks,141,77
Aarav,feMale,  F  ,5,82 marks,98,51,231,97
ARJUN,  F  ,f,12,14,50 marks,23,87,74
'Aryan',f,1,6,81,79,38 marks,198,76
Kabir,1,F,9,46,48,82,176,82
Isha,F,m,Grade 9,91 marks,73,22 marks,186,75
Myra,Male,F,10,15,2,12,29,95
"""Arjun""",F,male,Grade 1,69,85,52 marks,206,97
Myra,Male,Male,Grade 7,44 marks,12 marks,31 marks,87,96
ISHAAN,Maleale,1,10,77,87 marks,5 marks,169,74
Saanvi,1,1,2,77,23,73,173,94
DIYA,1,  F  ,5,55 marks,19,89 marks,163,86
Myra,  F  ,0,Grade 7,79 marks,40,78,197,77
ROHAN,0,male,7,74,81,22 marks,177,90
Myra,Male,female,Grade 1,73 marks,96 marks,60,229,81
"""Kabir""",feMale,M,Grade 3,66,26,64,156,79
ARJUN,Male,0,10,65,68 marks,80,213,87
'Aditi',0,F,1,92,90,93,275,99
"""Rohan""",F,m,1,14,76,68 marks,158,83
MYRA,Male,M,Grade 4,24 marks,75 marks,92,191,89
"""Ananya""",Male,  F  ,3,7,52 marks,13 marks,72,81
'Arjun',  F  ,male,Grade 12,28,9,23,60,82
"""Rohan""",Male,0,1,65 marks,64,58,187,89
DIYA,0,M,4,48,31,14,93,91
"""Aarav""",Male,male,Grade 9,26,25 marks,97,148,85
'Vihaan',Male,1,10,45,34 marks,94,173,82
ARJUN,1,1,7,11 marks,16,43 marks,70,92
"""Advika""",1,1,Grade 5,76 marks,57,37,170,78
Reyansh,1,0,7,93,78,5 marks,176,98
Saanvi,0,  F  ,Grade 11,19 marks,76,46,141,99
Zara,  F  ,male,12,90,34,54,178,85
'Shaurya',Male,0,8,14,57 marks,40,111,86
Aarav,0,M,12,80 marks,27,79 marks,186,83
'Rohan',Male,female,8,60,62,92 marks,214,94
Aditi,feMale,F,6,76 marks,63,87,226,85
Arjun,F,0,11,18,3 marks,76 marks,97,76
'Zara',0,m,12,83,98,83,264,95
"""Ishaan""",Male,M,3,33,47,52,132,94
"""Myra""",Male,f,6,93,60,87,240,82
"""Advika""",f,Male,8,86,16 marks,86,188,91
"""Isha""",Maleale,male,4,63,78,56,197,75
Ishaan,Male,F,Grade 4,41,61,69 marks,171,90
Rohan,F,m,Grade 9,37,46,36,119,93
Diya,Male,  F  ,11,100,40,3,143,86
Aditi,  F  ,male,6,65 marks,23,55,143,73
Vihaan,Male,Female,Grade 11,90,50,67 marks,207,85
Rohan,FeMale,female,1,63 marks,55,31,149,92
'Anika',feMale,Male,10,87 marks,14 marks,34,135,78
"""Kabir""",Maleale,1,4,99 marks,13,84,196,78
"""Arjun""",1,  F  ,Grade 11,71,37 marks,99,207,85
'Aditi',  F  ,  F  ,6,42 marks,17,33 marks,92,85
Reyansh,  F  ,Male,Grade 3,11 marks,70 marks,50 marks,131,93
"""Arjun""",Maleale,0,Grade 7,87 marks,100,12,199,87
KABIR,0,Female,Grade 9,77 marks,36,16 marks,129,75
"""Myra""",FeMale,1,2,91,64,68,223,85
'Krishna',1,f,9,0,52,79,131,80
"""Navya""",f,male,2,49,34,95,178,80
"""Aarav""",Male,male,7,21,10 marks,47 marks,78,96
"""Ishaan""",Male,F,6,45 marks,93 marks,27 marks,165,97
'Ishaan',F,m,Grade 8,56,28,73,157,95
Myra,Male,1,Grade 12,87,41,31,159,79
VIHAAN,1,male,Grade 12,96,46 marks,69 marks,211,88
"""Anika""",Male,M,Grade 9,11,81,37 marks,129,73
'Shaurya',Male,Male,8,44,62,51,157,80
"""Vihaan""",Maleale,0,Grade 1,55,94,10 marks,159,94
"""Saanvi""",0,0,3,50,4,6,60,91
'Diya',0,  M  ,Grade 5,16,96,5,117,94
'Aryan',  Male  ,M,8,78,59 marks,4,141,70
'Aditi',Male,F,Grade 4,5 marks,97,79 marks,181,90
"""Advika""",F,female,3,55,38,45,138,92
'Arjun',feMale,f,3,32,79,19,130,90
ANIKA,f,  M  ,6,32,9,63,104,97
Zara,  Male  ,Female,7,27,14,45,86,98
"""Isha""",FeMale,m,Grade 4,79 marks,84 marks,39,202,99
'Vihaan',Male,m,1,4 marks,48,45,97,85
'Aarav',Male,Male,9,69 marks,56,11 marks,136,93
'Reyansh',Maleale,f,Grade 5,74,60,18,152,96
'Rohan',f,1,Grade 4,54 marks,70,42,166,93
'Ananya',1,m,Grade 6,67 marks,45,61 marks,173,91
Aarav,Male,1,Grade 8,99,79,44,222,86
Aditi,1,m,3,14,15,74,103,80
"""Reyansh""",Male,f,12,42 marks,67,27,136,87
"""Zara""",f,Male,11,63,66,86,215,77
'Ananya',Maleale,M,2,55,77,3 marks,135,93
ANANYA,Male,Male,Grade 6,68 marks,45,75,188,89
'Shaurya',Maleale,m,7,57 marks,59,63,179,85
"""Shaurya""",Male,m,Grade 10,16 marks,78 marks,47 marks,141,97
SHAURYA,Male,f,Grade 1,72,20,69 marks,161,73
VIHAAN,f,m,7,25,99 marks,8 marks,132,95
Advika,Male,  F  ,11,43,96,92 marks,231,75
"""Arjun""",  F  ,Female,3,10,74,62,146,86
SAANVI,FeMale,Male,2,26,37 marks,63,126,97
'Aryan',Maleale,Male,7,59,19,63,141,82
"""Shaurya""",Maleale,Female,8,29 marks,42 marks,19 marks,90,96
Diya,FeMale,0,6,72 marks,22,34,128,92
"""Anika""",0,F,Grade 4,15 marks,60,41,116,76
"""Arjun""",F,female,7,67,58 marks,15 marks,140,85
"""Reyansh""",feMale,Male,Grade 4,28,39,15,82,98
'Myra',Maleale,  F  ,12,95,98,46,239,88
"""Ishaan""",  F  ,m,7,90,97,77,264,98
'Myra',Male,Female,Grade 1,20 marks,37,17 marks,74,78
'Saanvi',FeMale,  M  ,1,67 marks,15 marks,54 marks,136,74
KRISHNA,  Male  ,Male,Grade 1,63,32,14,109,72
Krishna,Maleale,m,8,94,94 marks,40,228,80
SAANVI,Male,male,9,80,98 marks,79 marks,257,83
Aryan,Male,f,5,78 marks,2,35 marks,115,95
"""Saanvi""",f,Male,2,37,10 marks,24,71,77
Shaurya,Maleale,Male,12,50,53,34,137,86
"""Arjun""",Maleale,1,4,42,62,55,159,73
DIYA,1,1,8,24,51,82 marks,157,70
'Anika',1,Male,9,4,80,64,148,87
Krishna,Maleale,male,Grade 9,31,21,89,141,78
"""Ishaan""",Male,  M  ,1,49,69,5,123,71
'Zara',  Male  ,1,Grade 7,27,8,46,81,73
DIYA,1,f,Grade 6,72,2,44,118,92
NAVYA,f,f,9,100 marks,45,1 marks,146,89
MYRA,f,f,4,57,13 marks,20 marks,90,74
'Myra',f,M,4,98,70,57 marks,225,84
'Ananya',Male,m,10,8,49 marks,0 marks,57,76
ARJUN,Male,male,8,13 marks,34,24,71,96
'Isha',Male,1,Grade 9,43 marks,97,80 marks,220,93
"""Anika""",1,male,Grade 5,34 marks,50 marks,76,160,98
'Advika',Male,0,7,75,65 marks,60,200,93
"""Navya""",0,M,Grade 1,64,3,59,126,82
VIHAAN,Male,F,2,58 marks,50,41,149,77
Aarav,F,Female,10,55,92 marks,94,241,80
Saanvi,FeMale,male,4,62,17 marks,57,136,95
'Ishaan',Male,f,8,25,98,48 marks,171,71
"""Isha""",f,male,Grade 1,37,29 marks,65,131,90
ARJUN,Male,Female,Grade 12,81,5,64,150,71
"""Aditi""",FeMale,male,3,33,67 marks,29,129,88
Ishaan,Male,  F  ,8,42 marks,4,21 marks,67,92
"""Kabir""",  F  ,  M  ,Grade 2,71,38,20,129,72
ARYAN,  Male  ,M,12,95 marks,72 marks,69 marks,236,76
SHAURYA,Male,m,Grade 2,49,67,7,123,91
'Aditi',Male,  F  ,10,30 marks,90,22,142,76
NAVYA,  F  ,Female,12,48,35,76 marks,159,85
Aditi,FeMale,M,Grade 10,25,90,99 marks,214,87
"""Isha""",Male,M,3,14,61,92,167,83
Anika,Male,m,2,98,88 marks,38,224,98
"""Rohan""",Male,  F  ,Grade 5,91,63,9 marks,163,77
Aarav,  F  ,female,5,51 marks,61,43 marks,155,89
Anika,feMale,0,1,37 marks,12,48 marks,97,86
AARAV,0,1,Grade 7,24,80,25,129,79
'Diya',1,m,9,51,57,7,115,88
Rohan,Male,Female,8,63,67,9,139,88
Shaurya,FeMale,M,Grade 8,54 marks,92,38 marks,184,100
ZARA,Male,  M  ,5,45,72,56 marks,173,88
"""Navya""",  Male  ,1,7,94 marks,86 marks,79,259,71
Aarav,1,f,Grade 1,18 marks,40 marks,58,116,90
"""Zara""",f,female,2,84,63 marks,15,162,78
"""Diya""",feMale,M,Grade 10,23 marks,38,47,108,76
VIHAAN,Male,Male,Grade 11,35 marks,27,41 marks,103,79
ARJUN,Maleale,  M  ,12,39 marks,86 marks,79,204,88
"""Myra""",  Male  ,M,12,49,1 marks,41,91,88
Rohan,Male,m,11,85 marks,11,17,113,70
Rohan,Male,1,12,19,46,26 marks,91,73
Ishaan,1,  M  ,11,31 marks,29,12,72,82
KRISHNA,  Male  ,Female,9,31,68,72 marks,171,87
"""Saanvi""",FeMale,  F  ,3,21,28,88,137,93
"""Diya""",  F  ,  M  ,Grade 10,40 marks,30,37 marks,107,70
Krishna,  Male  ,F,6,21,61,60,142,71
ANIKA,F,  F  ,2,77,43,73 marks,193,99
ROHAN,  F  ,0,Grade 10,28,81 marks,58,167,84
'Aarav',0,Male,5,53,68 marks,73,194,88
"""Myra""",Maleale,1,6,4 marks,81,31,116,91
'Kabir',1,0,Grade 3,71,82 marks,79,232,83
'Ananya',0,male,Grade 11,18,22 marks,96 marks,136,78
ARJUN,Male,1,Grade 5,13 marks,12 marks,17 marks,42,100
Reyansh,1,Male,Grade 4,33,78 marks,50,161,94
'Rohan',Maleale,  M  ,8,68,17,49,134,98
'Navya',  Male  ,f,12,11,82,37 marks,130,91
'Myra',f,female,9,34,75,41,150,73
ANIKA,feMale,0,7,41 marks,38,58 marks,137,73
Arjun,0,  F  ,9,82 marks,100,32,214,99
"""Vihaan""",  F  ,M,5,55,20,26,101,97
ANIKA,Male,female,8,18 marks,94,14,126,80
"""Rohan""",feMale,Male,Grade 1,19,97 marks,82,198,79
"""Rohan""",Maleale,M,9,68,16 marks,22,106,74
'Aryan',Male,M,Grade 6,94,2,17,113,83
ADITI,Male,f,Grade 9,71,2 marks,96,169,83
'Aryan',f,F,4,26 marks,5,92 marks,123,71
"""Aditi""",F,female,Grade 5,26 marks,9,39,74,74
VIHAAN,feMale,  F  ,8,98,53,59 marks,210,87
ZARA,  F  ,m,5,93,20,68 marks,181,84
"""Aarav""",Male,female,5,41,16,86 marks,143,93
ANANYA,feMale,f,Grade 7,53,20,51 marks,124,93
REYANSH,f,f,7,78,33 marks,65 marks,176,100
"""Myra""",f,0,Grade 1,51,60,49,160,85
'Krishna',0,m,Grade 4,20,40,82,142,83
ANANYA,Male,0,10,32 marks,14,31,77,79
DIYA,0,f,12,21 marks,75,57,153,96
"""Reyansh""",f,m,Grade 6,4 marks,55 marks,45,104,96
'Aryan',Male,1,Grade 3,77,2,74 marks,153,79
Krishna,1,male,2,92,26 marks,17,135,75
"""Arjun""",Male,male,5,80,2,50 marks,132,84
"""Ishaan""",Male,  M  ,Grade 12,31 marks,22 marks,31,84,86
ARJUN,  Male  ,  M  ,3,83 marks,37,44,164,86
KABIR,  Male  ,male,4,76,12,20 marks,108,91
"""Vihaan""",Male,F,7,58,47,56,161,75
Arjun,F,Female,Grade 11,69,7,4 marks,80,95
"""Kabir""",FeMale,Male,8,87,48 marks,3,138,76
"""Zara""",Maleale,0,7,92,83,56,231,71
Zara,0,0,11,64 marks,13,89 marks,166,92
ROHAN,0,M,5,15,71,87,173,96
"""Kabir""",Male,Female,Grade 6,44 marks,81,76,201,73
"""Krishna""",FeMale,female,12,19,13,29 marks,61,73
Anika,feMale,female,7,54,65,60,179,95
"""Advika""",feMale,1,4,47 marks,96,47 marks,190,79
REYANSH,1,  F  ,4,81 marks,49 marks,72 marks,202,71
"""Shaurya""",  F  ,f,Grade 12,42,18 marks,92,152,75
ADVIKA,f,0,7,86,39 marks,28,153,96
REYANSH,0,M,7,60,90 marks,59,209,75
REYANSH,Male,0,6,73,49,74,196,85
"""Shaurya""",0,male,Grade 11,31 marks,53,99,183,93
Anika,Male,1,3,11 marks,41,13,65,72
"""Rohan""",1,Female,4,80 marks,17,51 marks,148,88
'Aarav',FeMale,m,6,23,59,52,134,93
"""Shaurya""",Male,1,Grade 10,32,67 marks,45 marks,144,99
'Advika',1,Female,12,76 marks,19,13,108,99
"""Aarav""",FeMale,0,10,62,41,70,173,99
REYANSH,0,Male,6,100,59,89,248,72
SHAURYA,Maleale,male,6,56,67 marks,74 marks,197,84
"""Rohan""",Male,F,11,52 marks,85,92,229,79
"""Zara""",F,  M  ,11,56 marks,44 marks,92 marks,192,78
